Canada,7.598509855,0,4.104278275
United States of America,3.386232517,1,17.17655011
Pakistan,0.183298434,2,42.68827863
Ireland,0.107280345,3,63.00208238
United Kingdom,0.107280345,4,55.21724393
India,0.071243695,5,2.87E+01
China,0.03030255,6,8.88E+00
Western Sahara,0.01695372,7,1.63E+00
Kosovo,0.016619941,8,1.78E-01
Montenegro,0.01646922,9,1.15E-02
Bosnia and Herzegovina,0.016189322,,
Mauritania,0.016113463,,
Gabon,0.016081007,,
Equatorial Guinea,0.016017237,,
Algeria,0.015711789,,
Republic of Serbia,0.015454618,,
Costa Rica,0.015174942,,
Nicaragua,0.015077754,,
Mali,0.014795312,,
Albania,0.014742992,,
North Macedonia,0.014728129,,
Republic of the Congo,0.014697852,,
Croatia,0.014626914,,
Djibouti,0.014554774,,
El Salvador,0.01419287,,
Tunisia,0.014064846,,
Central African Republic,0.013789144,,
Guinea-Bissau,0.013722797,,
Honduras,0.013652678,,
Angola,0.013457786,,
Eritrea,0.01345531,,
Morocco,0.013054351,,
Senegal,0.013003899,,
Chile,0.012870472,,
Uzbekistan,0.012725809,,
Burundi,0.012586661,,
Guatemala,0.012519159,,
Panama,0.012493297,,
Ecuador,0.011884849,,
Somaliland,0.011873248,,
Gambia,0.01181771,,
Bolivia,0.011745094,,
Slovenia,0.011440873,,
Haiti,0.011350963,,
Dominican Republic,0.011350963,,
Democratic Republic of the Congo,0.011343523,,
Yemen,0.01110593,,
Libya,0.010983113,,
Belize,0.010760034,,
Sweden,0.010596538,,
Bulgaria,0.010459598,,
Burkina Faso,0.010437234,,
Argentina,0.010417288,,
Qatar,0.010251047,,
Latvia,0.010099856,,
Romania,0.010008764,,
Paraguay,0.009919506,,
Oman,0.009901065,,
Turkmenistan,0.009861596,,
Kuwait,0.00961519,,
Peru,0.009550076,,
Hungary,0.0093301,,
Rwanda,0.009311875,,
Guyana,0.009298954,,
Saudi Arabia,0.009121473,,
Lithuania,0.009066196,,
Ethiopia,0.009049788,,
Colombia,0.008884697,,
South Korea,0.008387559,,
Venezuela,0.008255525,,
Zambia,0.008014054,,
Greece,0.007815652,,
Malawi,0.007774465,,
East Timor,0.007441926,,
Sudan,0.007324131,,
Uruguay,0.007167431,,
Thailand,0.007026053,,
Papua New Guinea,0.006954352,,
Belarus,0.006905166,,
Austria,0.006887386,,
Moldova,0.006806184,,
Liechtenstein,0.006755281,,
Finland,0.006560427,,
Norway,0.006417999,,
South Sudan,0.006329584,,
Jordan,0.006127729,,
Gibraltar,0.006046413,,
Iraq,0.005862015,,
Guinea,0.005737259,,
United Republic of Tanzania,0.00572949,,
Estonia,0.005637323,,
San Marino,0.005586069,,
Somalia,0.005346472,,
Ivory Coast,0.005318108,,
United Arab Emirates,0.005203476,,
Portugal,0.005135414,,
Togo,0.005017079,,
Czechia,0.004716598,,
Mozambique,0.004694669,,
Indonesia,0.004618057,,
Namibia,0.003984391,,
Spain,0.003951114,,
Poland,0.003853392,,
Slovakia,0.003743011,,
Kyrgyzstan,0.003462334,,
Syria,0.002681725,,
Vietnam,0.002647307,,
Italy,0.002379943,,
Turkey,0.002205723,,
Kazakhstan,0.002094331,,
Suriname,0.001982406,,
Netherlands,0.001944289,,
Botswana,0.001668646,,
Belgium,0.001532576,,
Palestine,0.001511996,,
Brazil,0.001405803,,
Azerbaijan,0.00101146,,
Uganda,0.000820751,,
Georgia,0.000811517,,
Tajikistan,0.00040885,,
Iran,8.59E-05,,
eSwatini,6.77E-05,,
Cyprus,0,,
Cuba,0,,
Northern Cyprus,0,,
Australia,0,,
Greenland,0,,
Fiji,0,,
New Zealand,0,,
New Caledonia,0,,
Madagascar,0,,
Philippines,0,,
Sri Lanka,0,,
Aruba,0,,
The Bahamas,0,,
Turks and Caicos Islands,0,,
Taiwan,0,,
Japan,0,,
Saint Pierre and Miquelon,0,,
Iceland,0,,
French Polynesia,0,,
French Southern and Antarctic Lands,0,,
Seychelles,0,,
Kiribati,0,,
Marshall Islands,0,,
Trinidad and Tobago,0,,
Grenada,0,,
Saint Vincent and the Grenadines,0,,
Barbados,0,,
Saint Lucia,0,,
Dominica,0,,
Montserrat,0,,
Antigua and Barbuda,0,,
Saint Kitts and Nevis,0,,
United States Virgin Islands,0,,
Puerto Rico,0,,
Anguilla,0,,
British Virgin Islands,0,,
Jamaica,0,,
Cayman Islands,0,,
Bermuda,0,,
Saint Helena,0,,
Mauritius,0,,
Comoros,0,,
São Tomé and Principe,0,,
Cabo Verde,0,,
Malta,0,,
Jersey,0,,
Guernsey,0,,
Isle of Man,0,,
Faroe Islands,0,,
Singapore,0,,
Cook Islands,0,,
Tonga,0,,
Wallis and Futuna,0,,
Samoa,0,,
Solomon Islands,0,,
Tuvalu,0,,
Maldives,0,,
Nauru,0,,
Federated States of Micronesia,0,,
Falkland Islands,0,,
Vanuatu,0,,
Niue,0,,
American Samoa,0,,
Palau,0,,
Guam,0,,
Northern Mariana Islands,0,,
Bahrain,0,,
Macao S.A.R,0,,
Ukraine,-3.19E-05,,
Egypt,-0.000116464,,
Switzerland,-0.000230798,,
Afghanistan,-0.000307943,,
Zimbabwe,-0.000390404,,
Liberia,-0.000396649,,
Luxembourg,-0.000517557,,
Armenia,-0.000521286,,
Cambodia,-0.000545198,,
Lebanon,-0.000763206,,
Malaysia,-0.000816526,,
Brunei,-0.001073988,,
Germany,-0.001791958,,
Andorra,-0.001999821,,
Laos,-0.002295288,,
Russia,-0.002302892,,
Niger,-0.002784972,,
Denmark,-0.002932988,,
Kenya,-0.004892335,,
France,-0.005154351,,
Israel,-0.005379244,,
Cameroon,-0.005493684,,
Sierra Leone,-0.005733161,,
North Korea,-0.006693385,,
Chad,-0.007475344,,
Monaco,-0.010189897,,
South Africa,-0.011744827,,
Benin,-0.015369363,,
Lesotho,-0.015669446,,
Ghana,-0.01653206,,
Mongolia,-0.017285795,,
Hong Kong S.A.R.,-0.021291017,,
Bangladesh,-0.038049487,,
Myanmar,-0.056905752,,
Nepal,-0.108164059,,
Nigeria,-0.109516534,,
Bhutan,-0.161480759,,
Mexico,-0.270797902,,